object_id,ra,dec,tileid,spe_context_error_flag,spe_context_warning_flag,spe_error_flag,spe_warning_flag,spe_grism,spe_npix,spe_z,spe_z_err,spe_z_rel,spe_cont_snr,spe_subclass,best_line_snr
2718733251673981545,271.8733251237168,67.39815453855563,102160061,0,32768,0,2,RGS,328,1.6428300142288208,2.2327709302771837e-05,0.9973756074905396,7213.89599609375,Lya_abs_Scd,-99.0
2718735808673947466,271.87358083948294,67.3947466170522,102160061,0,32768,0,2,RGS,289,3.081850051879883,1.2607571079570334e-05,0.9986314177513123,5677.1904296875,Lya_em_SB1,-99.0
2718870305673869618,271.8870305309706,67.3869618952405,102160061,0,32768,0,2,RGS,267,4.717035293579102,0.0007333211251534522,0.9166045188903809,75.86180114746094,BX_SB3,0.0
2719162396675842002,271.91623960636196,67.58420024483121,102160061,0,32768,0,2,RGS,208,1.0178858041763306,0.0004668432520702481,0.09859684854745865,66.1769790649414,Irr,0.0
2719168617674311044,271.9168617121023,67.4311044518674,102160061,0,32768,0,2,RGS,468,0.012831962667405605,0.0008864101837389171,0.8419896364212036,373.1099853515625,BX_Scd,3.271923780441284
2719173931675812807,271.91739314312434,67.5812807863497,102160061,0,32768,0,2,RGS,220,1.0989775657653809,0.0009695505723357201,0.16321207582950592,16.947437286376953,Lya_abs_SB3,4.807684898376465
2719182235676024229,271.9182235310952,67.60242291851331,102160061,0,32768,0,2,RGS,244,1.4386639595031738,0.00015849301416892558,0.9923408031463623,429.1824645996094,BX_SB3,10.664510726928711
2719187343674278800,271.9187343495413,67.42788003028038,102160061,0,32768,0,2,RGS,466,0.624906599521637,0.0001373093982692808,0.616104245185852,1425.3524169921875,Sbc,4.75099515914917
2719190142673347556,271.9190142188254,67.33475560390008,102160061,0,32768,0,2,RGS,377,3.9498157501220703,0.0007759753498248756,0.7071589827537537,110.57875061035156,Lya_em_SB3,0.0
2719193199675999324,271.91931993154907,67.59993245778288,102160061,0,32768,0,2,RGS,215,1.4100568294525146,0.0010718714911490679,0.18301409482955933,53.206844329833984,BX_Scd,4.3407673835754395
2719202721673380070,271.920272158613,67.3380070055781,102160061,0,32768,0,2,RGS,347,1.3423397541046143,0.0004661045968532562,0.9888542890548706,nan,Lya_em_SB1,0.0
2719204177676139493,271.920417791568,67.61394936000471,102160061,0,32768,0,2,RGS,438,0.7428998947143555,0.000211266684345901,0.9244548678398132,187.1926727294922,Lya_abs_SB3,2.0322163105010986
2719208869673090287,271.9208869175216,67.30902870298425,102160061,0,32768,0,2,RGS,142,1.6433587074279785,0.0010526650585234165,0.5544818043708801,59.97024917602539,BX_SB3,4.8647236824035645
2719208996673613780,271.92089967256317,67.36137804812277,102160061,0,32768,0,2,RGS,465,1.1377424001693726,0.0006356330122798681,0.9870831966400146,52.6370964050293,BX_Scd,7.418215274810791
2719209273673211620,271.92092733681426,67.3211620391718,102160061,0,32768,0,2,RGS,56,1.4812198877334595,0.0007987108547240496,0.42004212737083435,14.008864402770996,BX_Scd,-99.0
2719209561675973117,271.9209561621322,67.59731175697618,102160061,0,32768,0,2,RGS,245,1.4100568294525146,0.00240531237795949,0.2784096896648407,24.987720489501953,Lya_abs_SB3,0.0
2719213928676358555,271.92139284885724,67.63585551274177,102160061,0,32768,0,2,RGS,247,0.9564866423606873,0.0005256804870441556,0.2560309171676636,44.599674224853516,Lya_em_Scd,11.33084487915039
2719215018676401530,271.92150187493013,67.64015308856031,102160061,0,32768,0,2,RGS,398,0.34158310294151306,0.0006843974115327001,0.4488159418106079,518.977294921875,SB2,3.6382787227630615
2719217940675990884,271.9217940689657,67.59908845870429,102160061,0,32768,0,2,RGS,271,0.6145403981208801,0.00010261597344651818,0.8608696460723877,745.5673828125,Sbc,10.005537033081055
2719220445673888132,271.92204459456326,67.38881325606562,102160061,0,32768,0,2,RGS,275,1.2762978076934814,0.0006636689649894834,0.09848172217607498,72.06451416015625,BX_Scd,0.0
2719222117673408605,271.92221176163673,67.34086054630338,102160061,0,32768,0,2,RGS,452,1.840131402015686,0.0023698355071246624,0.7519890666007996,0.0,BX_Scd,4.13230037689209
2719223911673133350,271.92239114361655,67.31333508569054,102160061,0,32768,0,2,RGS,108,1.4767577648162842,0.0013292970834299922,0.114634208381176,54.50350570678711,SB2,0.0
2719226479673891422,271.9226479103132,67.38914225186566,102160061,0,32768,0,2,RGS,316,0.6580634713172913,0.00031449602101929486,0.9661639332771301,87.61355590820312,Lya_abs_SB3,2.6205947399139404
2719229671676300982,271.9229671222903,67.63009828693444,102160061,0,32768,0,2,RGS,447,4.69022798538208,0.0020455732010304928,0.06981240212917328,304.8061218261719,BX_Scd,0.0
2719230526676765519,271.9230526199238,67.6765519785221,102160061,0,32768,0,2,RGS,190,0.8335433006286621,0.0005925886798650026,0.1312721073627472,61.13904571533203,Lya_abs_Scd,0.0
2719230948676762436,271.92309487079194,67.67624368000428,102160061,0,32768,0,2,RGS,315,3.4711709022521973,0.0005616041598841548,0.9962555170059204,103.27050018310547,BX_Scd,-99.0
2719236367673651102,271.9236367757498,67.36511028854041,102160061,0,32768,0,2,RGS,468,1.4839507341384888,0.0006257055792957544,0.1804255098104477,nan,BX_Scd,7.176243782043457
2719236554673068224,271.92365545576087,67.30682242583475,102160061,0,32768,0,2,RGS,142,2.5333638191223145,0.00015538005391135812,0.9975703358650208,960.3065795898438,Sbc,0.0
2719237998673709711,271.92379986083006,67.37097116558179,102160061,0,32768,0,2,RGS,406,0.012933251447975636,9.647221304476261e-05,0.9709436893463135,3111.630859375,BX_Scd,0.0
2719238094673326280,271.92380947040857,67.33262809291708,102160061,0,32768,0,2,RGS,380,1.872119665145874,0.0012166347587481141,0.15422587096691132,nan,Irr_Blue,0.0
2719238833676736442,271.9238833003597,67.67364429083082,102160061,0,32768,0,2,RGS,120,1.004611611366272,0.001280964002944529,0.2683170735836029,39.55890655517578,Lya_em_Scd,2.7388885021209717
2719241244673162772,271.92412445065906,67.31627727016453,102160061,0,32768,0,2,RGS,202,0.6066485047340393,0.00041786619112826884,0.816768229007721,179.10708618164062,Sbc,20.86728858947754
2719242747676867142,271.9242747818475,67.68671424081703,102160061,0,32768,0,2,RGS,453,2.8180902004241943,0.0007923056255094707,0.8968168497085571,85.07290649414062,Lya_abs_SB3,4.689929485321045
2719243278676233897,271.9243278413775,67.62338973845026,102160061,0,32768,0,2,RGS,108,1.4069257974624634,0.0009060334414243698,0.11795654147863388,22.577621459960938,Lya_em_SB1,0.0
2719243562676323645,271.924356269857,67.63236456785866,102160061,0,32768,0,2,RGS,442,1.2583858966827393,0.00033243498182855546,0.8963847756385803,139.2611083984375,BX_Scd,7.86368465423584
2719244216673364199,271.92442163713673,67.33641992037506,102160061,0,32768,0,2,RGS,432,1.9269189834594727,0.00041502885869704187,0.9975472092628479,140.78805541992188,Irr_Blue,15.739521980285645
2719250777673528850,271.92507773638437,67.35288509689595,102160061,0,32768,0,2,RGS,16,0.9262022972106934,0.0005515869124792516,0.12845320999622345,42.841636657714844,Lya_abs_SB3,-99.0
2719256773673138815,271.9256773735347,67.3138815732615,102160061,0,32768,0,2,RGS,174,1.2392709255218506,0.00048405828420072794,0.18555539846420288,58.019309997558594,BX_Scd,7.983182907104492
2719257792676337669,271.925779238732,67.63376694731518,102160061,0,32768,0,2,RGS,128,1.4607110023498535,0.0008015072089619935,0.13555072247982025,24.480323791503906,Lya_em_SB1,7.49584436416626
2719258119676017653,271.92581197346743,67.60176532549781,102160061,0,32768,0,2,RGS,254,2.760118007659912,0.0010289641795679927,0.9980777502059937,127.19795989990234,BX_Scd,0.0
2719259541676345201,271.92595410604144,67.63452011486582,102160061,0,32768,0,2,RGS,263,0.4208429753780365,0.0005286987288855016,0.10569236427545547,29.678783416748047,SB2,4.023494243621826
2719261675676369533,271.92616754431464,67.63695337126431,102160061,0,32768,0,2,RGS,360,1.7644739151000977,0.0008153588278219104,0.030118197202682495,86.39139556884766,Lya_em_SB3,3.5609793663024902
2719262324673069868,271.92623245221534,67.30698683547624,102160061,0,32768,0,2,RGS,134,0.7019085884094238,0.0008647877257317305,0.9704319834709167,150.14093017578125,Sbc,5.806619644165039
2719262622677100935,271.92626229553645,67.71009352854523,102160061,0,32768,0,2,RGS,230,2.8959996700286865,0.00042925606248900294,0.9984965324401855,351.13836669921875,Lya_em_SB1,31.56352996826172
2719263653673174386,271.9263653266995,67.31743866152333,102160061,0,32768,0,2,RGS,155,1.61915123462677,8.979668928077444e-05,0.9946093559265137,nan,Sbc,-99.0
2719264482675876442,271.92644820807925,67.58764426326806,102160061,0,32768,0,2,RGS,210,1.565748691558838,0.0005423930124379694,0.2616707980632782,35.43231201171875,BX_SB1,10.628338813781738
2719264579673122958,271.92645791853823,67.31229580218645,102160061,0,32768,0,2,RGS,45,1.658734679222107,0.004142296500504017,0.6559478640556335,8.5491304397583,Lya_em_Scd,0.0
2719266927673834993,271.9266927822941,67.38349938053727,102160061,0,32768,0,2,RGS,466,1.7641974687576294,0.0010399450547993183,0.3171714246273041,19.136306762695312,Lya_abs_Scd,5.378321170806885
2719267976675884637,271.92679762306415,67.58846376392339,102160061,0,32768,0,2,RGS,192,1.9374748468399048,0.0017266672803089023,0.9969421029090881,10.282599449157715,Irr,0.0
2719268770676214511,271.92687704039923,67.62145117956359,102160061,0,32768,0,2,RGS,442,0.38742613792419434,0.0001623505086172372,0.9694315791130066,433.1441650390625,Sbc,2.063723564147949
2719271321673065569,271.9271321863431,67.3065569599199,102160061,0,32768,0,2,RGS,132,1.742720603942871,0.0010250193299725652,0.9407080411911011,34.19675064086914,BX_Scd,3.5442051887512207
2719273434673366300,271.92734346330894,67.33663002630888,102160061,0,32768,0,2,RGS,443,3.869300603866577,0.0007884672959335148,0.9918143153190613,77.31824493408203,Lya_em_SB3,12.557587623596191
2719274795675921951,271.9274795499137,67.59219518956725,102160061,0,32768,0,2,RGS,231,1.3204249143600464,0.0008341981447301805,0.7010101675987244,40.63983917236328,BX_Scd,8.3848876953125
2719276139676389162,271.9276139183688,67.63891629276839,102160061,0,32768,0,2,RGS,435,0.3423882722854614,0.0001072811137419194,0.9665946364402771,2769.900146484375,BX_Scd,13.251433372497559
2719276487676195290,271.9276487244554,67.61952908460206,102160061,0,32768,0,2,RGS,369,0.01273068506270647,0.0002166468184441328,0.9724478125572205,1083.664306640625,BX_Scd,0.0
2719277378675783780,271.92773788845074,67.57837802037751,102160061,0,32768,0,2,RGS,192,1.6505054235458374,0.0008327624527737498,0.12697851657867432,91.88496398925781,Lya_em_SB3,7.577868938446045
2719278343676101169,271.927834366689,67.61011693745618,102160061,0,32768,0,2,RGS,459,1.7471123933792114,0.0017424965044483542,0.933656632900238,nan,BX_SB3,6.806152820587158
2719278918676034585,271.9278918475301,67.60345852261847,102160061,0,32768,0,2,RGS,27,3.2357072830200195,0.0004897211329080164,0.9948499798774719,79.33062744140625,BX_SB1,11.031811714172363
